Organic Nation


Phil Wohl


Smashwords Edition
Copyright 2009 Phil Wohl

This eBook is licensed for your personal enjoyment only. This eBook may not be re-sold or given away to other people. If you would like to share this book with another person, please purchase an additional copy for each recipient. If you’re reading this book and did not purchase it, or it was not purchased for your use only, then please return to Smashwords.com and purchase your own copy. Thank you for respecting the hard work of this author.



ON

	“Please empty your pockets,” the prison guard said with all of the emotion of an extension cord.
	The prisoner placed a white rabbit’s foot and a hundred-dollar bill on the tray in front of him.
	The guard stated, “Prisoner 119076 has a single one-hundred dollar bill and… he rolled his eyes, “a white rabbit’s foot on a small silver chain.”
	“It’s from my nephew,” the grey-haired prisoner muttered.
	“I hope he gave it to you before the trial started,” the guard countered.
	“He gave it to me a few years ago, but it was the only thing I could find that was small enough to fit in my pocket.  Besides, it’s made out of tofu.”
	The guard slowly got the joke, being that it came from the king of Organic Nation.  He hit the security buzzer and then escorted the prisoner into the depths of the white collar, minimum-security prison in the outer reaches of Upstate New York.
	“You ever do private security, Carl?  Because I’m thinking that I’m gonna’ need some when I get out of here.”
 	Carl smiled, “I’ve done a little bit of everything, Mr. Green.”
	Green smiled and replied, “Haven’t we all, Carl.  Haven’t we all.”

Club Fed

	Five years without the chance of parole in a white-collar prison, seemed like a fairly light sentence for a man that had such a blatant disregard for business ethics and personal morals.  Things got so bad at one point that Green’s own cousin, the company’s Chief Financial Officer, had to turn against him.
	Brad Green, almost overnight, became the poster boy for the common Wall Street tale - proving once again that greed, most definitely, kills.  Giving away about 99% of his fortune was also front page news, but Green barely blinked at having to scrape by with only $200 million.  The government seized all five of his homes, his three boats, two jets, a helicopter, 14 cars, and all of his assets except the $200 million he stashed for a rainy day in an offshore bank account.
	The Edward I. Koch Minimal Security Prison in Albany, New York, used to be called Club Fed in the 1970’s and 1980’s, but had tightened up a bit over the years.  The prisoners had taken vast liberties in the form of golf outings, strip clubs, gourmet food ordering, and hookers making house calls, all of which led authorities to tighten the belt some.  Outings now had to be authorized and vaguely supervised, and prisoners were restricted to a five-mile radius once a week.  Ladies of the evening doing their thing in the parking lot, and meal deliveries were also more closely monitored, but allowed.
	Brad Green was looking forward to escaping the madness and losing control of his puppet show gone wrong.  Officer Carl walked Prisoner Green to his room, which looked like the freshman dorm at Anywhere University.  Part of the new prisoner orientation involved random meetings with other floor-mates.  These inmates traded corporate war stories like maximum security prisoners dropping soap and using sharpened objects to cut holes in each other.
	Any nerves that Green felt were shaken loose by a familiar voice behind him.  Dick Swanson poked his head out from his room and yelled, “Bradley Green!  Is that you?”
	Green turned around and replied, “Dickey Swanson?”  He walked toward Swanson, “Wow!  I haven’t seen you since college!”
	The two men shook hands and then hugged.
	“I followed your case.  We all thought it was quite compelling theater,” Swanson stated.
	“Yeah, it was really a circus.  What are you in here for?”
	Swanson replied, “Tax evasion.  The business was a lot more profitable without paying taxes every year.”
	Brad nodded, “You never really liked math.”
