CHAPTER 1

Houston, Texas	
	The quarterback dropped back to pass and sailed the football high into the air. When the ball began its decent, it came down right in the hands of Steve Thompson, a defensive cornerback, who made a perfect interception. He took off running down the field dodging several tacklers along the way, but no one could stop him from making a touchdown. He crossed the goal line holding the ball high in the air and his teammates rushed over and joyfully carry him off the field to the sidelines where his coach was waiting. 	The coach was laughing as he rushed over to Steve and grabbed him in a bear hug. “That’s the best interception I ever saw in my life,” he shouted joyfully. “We’re goin’ to the playoffs!”
		“I was just playin’ like you told me to do, coach,” Steve smiled modestly. He looked up in the stands and everyone in the stadium was laughing, shouting and cheering including his parents, Fred and Tammy, who were hugging each other.
		“That’s our boy,” Fred shouted at Tammy. “That scholarship is all his now!

		Later, after the game, Steve was celebrating the victory with his friend, Billy, and their girlfriends, Beverly and Sue. They were all in Billy’s Camaro, smoking a joint and listening to music while Billy was speeding fast down a street and unknowingly past by a police car. 
	Officers Cox and Beard watch them pass by and Beard took note of their speed on the radar. “Let’s go, they’re doin’ eighty!” Cox put the car into gear and stomped the accelerator taking off after them.
		Billy looked in the rearview mirror and saw that they cops were chasing after them. “The pigs are after us, man!” He dug through the console as he drove on and pitched a large bag of marijuana in Steve’s lap. “Get rid of that shit, man!”
		Steve looked back and could see that the cops were right on their tail. “They’ll see me toss it!” He began to stuff the bag down the front of his pants while Billy watched on.
		“I gotta pull over,” Billy told him after Steve had finished putting the bag in his pants. He slowed down and pulled over to the side of the road before coming to a complete stop. They all watched as Cox and Beard get out of their patrol car and cautiously walk toward them. Billy laughed and rolled down his window. “Watch this, I’ll dazzle ‘em with bullshit,” he told the others.
		Cox could smell the marijuana odor as soon as he leaned down to the window. “May I see your driver’s license and proof of insurance?”
		“Sure,” Billy said pulling out his wallet. He got his license and insurance card out and handed them to Cox. “What seems to be the problem, officer?”
		“You’re kind of flyin’ high tonight, aren’t you, son?” Cox asked as he looked over the license and insurance card to make sure everything was in order. He then handed them to Beard who radioed and 10-28 and a 10-29 on them. 
		“Pardon me?” Billy asked not sure of what the policeman meant.
		“We clocked you doin’ eighty and the smell of marijuana is so strong I could smell it as soon as you rolled down the window.”
		“But we don’t have any marijuana,” Billy quickly told him.
		“Get out of the car, sir,” Cox ordered.

		Fred Thompson was less than happy with his son as they walked out of the police station and toward the car in the parking lot. He was furious at his son who was walking several steps behind him just to avoid being near him. Fred unlocked the car and climbed in under the wheel waiting for Steve to get in on the other side. “I just want to know just what in the hell did you think you were doing? Are you really that stupid? They just booked you on a felony possession charge! What the hell were you thinking?” Steve said nothing which angered Fred even more. “Talk to me, dammit!”
		“Oh, Dad, get off my back! We were just out celebrating the victory over Baytown, that’s all. We smoked a joint and the cops got after us, that’s it, end of story!” Steve took a deep breath and sighed. “Billy had this bag of grass and he told me to get rid of it, so I stuffed it down my pants thinking that we’d never get searched.”
		“Well, you did get searched,” Fred shouted as he started the engine. “Steve, this is one of the stupidest things you’ve ever done and you’ve done some pretty stupid stuff. Your Mother and I have put up with your shit for years and we’re getting damned tired of it!”
		“Yes, sir,” Steve sighed hoping that he would shut up.
